b'{id: 360, voltage: 6.475073, temperature: 29.500000}\n'
b'{id: 361, voltage: 6.475073, temperature: 29.500000}\n'
b'{id: 362, voltage: 6.475073, temperature: 29.500000}\n'
b'{id: 363, voltage: 6.475073, temperature: 29.500000}\n'
b'{id: 364, voltage: 6.475073, temperature: 29.500000}\n'
b'{id: 365, voltage: 6.475073, temperature: 29.500000}\n'
b'{id: 366, voltage: 6.475073, temperature: 30.000000}\n'
b'{id: 367, voltage: 6.475073, temperature: 29.500000}\n'
b'{id: 368, voltage: 6.475073, temperature: 29.500000}\n'
b'{id: 369, voltage: 6.475073, temperature: 30.000000}\n'
b'{id: 370, voltage: 6.475073, temperature: 30.000000}\n'
b'{id: 371, voltage: 6.475073, temperature: 30.000000}\n'
b'{id: 372, voltage: 6.475073, temperature: 30.000000}\n'
b'{id: 373, voltage: 6.475073, temperature: 30.000000}\n'
b'{id: 374, voltage: 6.475073, temperature: 30.000000}\n'
b'{id: 375, voltage: 6.475073, temperature: 30.000000}\n'
b'{id: 376, voltage: 6.475073, temperature: 30.000000}\n'
b'{id: 377, voltage: 6.475073, temperature: 30.000000}\n'
b'{id: 378, voltage: 6.475073, temperature: 30.000000}\n'
b'{id: 379, voltage: 6.475073, temperature: 30.000000}\n'
b'{id: 380, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 381, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 382, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 383, voltage: 6.475073, temperature: 30.000000}\n'
b'{id: 384, voltage: 6.475073, temperature: 30.000000}\n'
b'{id: 385, voltage: 6.475073, temperature: 30.000000}\n'
b'{id: 386, voltage: 6.475073, temperature: 30.000000}\n'
b'{id: 387, voltage: 6.475073, temperature: 30.000000}\n'
b'{id: 388, voltage: 6.475073, temperature: 30.000000}\n'
b'{id: 389, voltage: 6.475073, temperature: 30.000000}\n'
b'{id: 390, voltage: 6.475073, temperature: 30.000000}\n'
b'{id: 391, voltage: 6.475073, temperature: 30.000000}\n'
b'{id: 392, voltage: 6.475073, temperature: 30.000000}\n'
b'{id: 393, voltage: 6.475073, temperature: 30.000000}\n'
b'{id: 394, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 395, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 396, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 397, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 398, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 399, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 400, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 401, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 402, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 403, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 404, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 405, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 406, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 407, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 408, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 409, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 410, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 411, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 412, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 413, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 414, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 415, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 416, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 417, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 418, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 419, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 420, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 421, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 422, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 423, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 424, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 425, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 426, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 427, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 428, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 429, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 430, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 431, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 432, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 433, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 434, voltage: 6.475073, temperature: 30.000000}\n'
b'{id: 435, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 436, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 437, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 438, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 439, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 440, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 441, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 442, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 443, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 444, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 445, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 446, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 447, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 448, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 449, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 450, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 451, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 452, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 453, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 454, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 455, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 456, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 457, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 458, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 459, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 460, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 461, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 462, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 463, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 464, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 465, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 466, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 467, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 468, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 469, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 470, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 471, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 472, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 473, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 474, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 475, voltage: 6.475073, temperature: 30.000000}\n'
b'{id: 476, voltage: 6.475073, temperature: 30.000000}\n'
b'{id: 477, voltage: 6.475073, temperature: 30.000000}\n'
b'{id: 478, voltage: 6.475073, temperature: 30.000000}\n'
b'{id: 479, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 480, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 481, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 482, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 483, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 484, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 485, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 486, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 487, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 488, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 489, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 490, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 491, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 492, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 493, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 494, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 495, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 496, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 497, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 498, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 499, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 500, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 501, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 502, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 503, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 504, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 505, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 506, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 507, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 508, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 509, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 510, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 511, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 512, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 513, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 514, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 515, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 516, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 517, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 518, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 519, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 520, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 521, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 522, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 523, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 524, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 525, voltage: 6.475073, temperature: 30.500000}\n'
